node,degree_x,degree_y,degree_increase,degree_prob_x
0,8,8,0,0.0007373271889400922
1,12,12,0,0.0011059907834101382
2,2,2,0,0.00018433179723502304
3,25,25,0,0.002304147465437788
4,21,21,0,0.001935483870967742
5,1,1,0,9.216589861751152e-05
6,2,2,0,0.00018433179723502304
7,6,6,0,0.0005529953917050691
8,1,1,0,9.216589861751152e-05
9,15,16,1,0.0013824884792626728
10,3,3,0,0.00027649769585253456
11,1,1,0,9.216589861751152e-05
12,1,2,1,9.216589861751152e-05
13,1,2,1,9.216589861751152e-05
14,9,9,0,0.0008294930875576037
15,3,3,0,0.00027649769585253456
16,4,4,0,0.0003686635944700461
18,12,13,1,0.0011059907834101382
19,3,3,0,0.00027649769585253456
20,12,12,0,0.0011059907834101382
21,1,1,0,9.216589861751152e-05
23,11,14,3,0.0010138248847926267
24,3,3,0,0.00027649769585253456
25,1,1,0,9.216589861751152e-05
27,1,1,0,9.216589861751152e-05
28,10,10,0,0.0009216589861751152
29,3,3,0,0.00027649769585253456
30,6,6,0,0.0005529953917050691
31,2,2,0,0.00018433179723502304
32,7,9,2,0.0006451612903225806
33,5,5,0,0.0004608294930875576
34,4,4,0,0.0003686635944700461
35,3,4,1,0.00027649769585253456
36,1,1,0,9.216589861751152e-05
37,1,1,0,9.216589861751152e-05
38,7,7,0,0.0006451612903225806
39,2,2,0,0.00018433179723502304
40,1,1,0,9.216589861751152e-05
41,1,1,0,9.216589861751152e-05
42,1,1,0,9.216589861751152e-05
43,9,9,0,0.0008294930875576037
44,1,1,0,9.216589861751152e-05
45,1,6,5,9.216589861751152e-05
46,11,11,0,0.0010138248847926267
47,12,12,0,0.0011059907834101382
48,1,1,0,9.216589861751152e-05
49,5,6,1,0.0004608294930875576
50,8,12,4,0.0007373271889400922
51,4,4,0,0.0003686635944700461
52,5,8,3,0.0004608294930875576
53,5,5,0,0.0004608294930875576
54,1,1,0,9.216589861751152e-05
55,1,1,0,9.216589861751152e-05
56,3,3,0,0.00027649769585253456
57,3,3,0,0.00027649769585253456
58,1,1,0,9.216589861751152e-05
59,9,10,1,0.0008294930875576037
60,3,3,0,0.00027649769585253456
61,7,7,0,0.0006451612903225806
62,1,7,6,9.216589861751152e-05
63,8,8,0,0.0007373271889400922
64,7,7,0,0.0006451612903225806
65,16,16,0,0.0014746543778801843
66,12,12,0,0.0011059907834101382
67,28,30,2,0.0025806451612903226
68,2,2,0,0.00018433179723502304
69,11,11,0,0.0010138248847926267
70,2,2,0,0.00018433179723502304
72,4,4,0,0.0003686635944700461
73,5,5,0,0.0004608294930875576
74,3,5,2,0.00027649769585253456
75,11,11,0,0.0010138248847926267
76,21,21,0,0.001935483870967742
77,6,8,2,0.0005529953917050691
78,3,3,0,0.00027649769585253456
80,2,2,0,0.00018433179723502304
81,1,1,0,9.216589861751152e-05
82,1,2,1,9.216589861751152e-05
83,1,1,0,9.216589861751152e-05
84,7,7,0,0.0006451612903225806
85,1,1,0,9.216589861751152e-05
86,30,31,1,0.0027649769585253456
87,21,22,1,0.001935483870967742
88,13,13,0,0.0011981566820276498
89,6,6,0,0.0005529953917050691
90,2,2,0,0.00018433179723502304
91,7,8,1,0.0006451612903225806
92,11,11,0,0.0010138248847926267
93,1,1,0,9.216589861751152e-05
94,2,2,0,0.00018433179723502304
95,1,1,0,9.216589861751152e-05
96,1,1,0,9.216589861751152e-05
97,1,1,0,9.216589861751152e-05
98,8,8,0,0.0007373271889400922
99,11,11,0,0.0010138248847926267
100,26,26,0,0.0023963133640552995
101,4,4,0,0.0003686635944700461
102,1,1,0,9.216589861751152e-05
103,14,15,1,0.0012903225806451613
104,8,8,0,0.0007373271889400922
105,4,5,1,0.0003686635944700461
106,2,2,0,0.00018433179723502304
107,1,1,0,9.216589861751152e-05
108,17,17,0,0.0015668202764976959
109,7,7,0,0.0006451612903225806
110,10,11,1,0.0009216589861751152
111,7,7,0,0.0006451612903225806
112,15,15,0,0.0013824884792626728
113,27,27,0,0.002488479262672811
114,21,21,0,0.001935483870967742
115,3,7,4,0.00027649769585253456
116,18,19,1,0.0016589861751152074
117,15,15,0,0.0013824884792626728
118,4,4,0,0.0003686635944700461
119,11,11,0,0.0010138248847926267
120,13,14,1,0.0011981566820276498
121,13,13,0,0.0011981566820276498
122,12,16,4,0.0011059907834101382
123,13,13,0,0.0011981566820276498
124,1,1,0,9.216589861751152e-05
125,1,1,0,9.216589861751152e-05
126,10,10,0,0.0009216589861751152
127,1,1,0,9.216589861751152e-05
128,9,10,1,0.0008294930875576037
129,2,2,0,0.00018433179723502304
130,1,1,0,9.216589861751152e-05
131,1,1,0,9.216589861751152e-05
132,1,1,0,9.216589861751152e-05
133,1,1,0,9.216589861751152e-05
134,4,6,2,0.0003686635944700461
135,5,6,1,0.0004608294930875576
136,12,13,1,0.0011059907834101382
137,1,6,5,9.216589861751152e-05
138,1,1,0,9.216589861751152e-05
139,4,4,0,0.0003686635944700461
140,15,15,0,0.0013824884792626728
141,2,2,0,0.00018433179723502304
142,3,3,0,0.00027649769585253456
143,1,1,0,9.216589861751152e-05
144,14,14,0,0.0012903225806451613
145,19,19,0,0.001751152073732719
146,3,3,0,0.00027649769585253456
147,3,3,0,0.00027649769585253456
148,2,2,0,0.00018433179723502304
149,1,1,0,9.216589861751152e-05
150,1,1,0,9.216589861751152e-05
151,2,2,0,0.00018433179723502304
152,9,9,0,0.0008294930875576037
153,9,12,3,0.0008294930875576037
154,2,2,0,0.00018433179723502304
155,10,11,1,0.0009216589861751152
